date,open,high,low,close,volume,oi,SYMBOL,MA_VOL,MA_OI,RSI,VWAP
2023-10-31 15:05:00,98.25,99.0,89.65,99.0,260050,1528300,NIFTY23N0919200CE,189285.0,1460235.0,22.17949088946268,114.53143367970891
2023-10-31 15:10:00,99.0,104.25,97.0,98.7,173550,1519950,NIFTY23N0919200CE,179755.0,1462795.0,21.838628775174694,114.24933529978081
2023-10-31 15:15:00,98.95,103.1,95.4,100.7,92750,1514550,NIFTY23N0919200CE,172225.0,1464965.0,30.71227692037159,114.10044952393591
2023-10-31 15:20:00,101.0,101.85,98.05,98.7,95050,1492300,NIFTY23N0919200CE,147520.0,1470930.0,26.89547773916489,113.94892709342174
2023-10-31 15:25:00,99.0,100.0,97.5,98.0,135750,1486100,NIFTY23N0919200CE,145755.0,1476475.0,25.50855820557605,113.72278306752787
2023-11-01 09:15:00,95.0,95.5,76.65,95.3,519650,1535350,NIFTY23N0919200CE,190850.0,1486620.0,20.42929124995656,89.14999999999999
2023-11-01 09:20:00,95.3,99.9,89.7,94.65,222100,1582150,NIFTY23N0919200CE,205305.0,1501685.0,19.27436359747924,90.82679137175599
2023-11-01 09:25:00,94.65,94.65,84.5,88.5,127250,1615900,NIFTY23N0919200CE,207150.0,1519385.0,11.55114542386231,90.59101649405446
2023-11-01 09:30:00,88.15,98.3,86.4,94.85,198750,1622650,NIFTY23N0919200CE,214010.0,1537570.0,41.7011263949407,91.07354795910402
2023-11-01 09:35:00,94.85,96.35,91.65,94.0,124950,1653300,NIFTY23N0919200CE,194985.0,1555055.0,39.45099438929006,91.38012981750089
2023-11-01 09:40:00,94.0,96.8,85.7,91.7,88750,1670150,NIFTY23N0919200CE,177855.0,1569240.0,33.36217027348673,91.38150597630288
2023-11-01 09:45:00,91.7,91.7,80.0,82.2,154450,1682100,NIFTY23N0919200CE,175945.0,1585455.0,18.566942616667742,90.65565092740906
